col_0,col_1,col_2,col_3,col_4,col_5
2,23,28,15,9,4
2,27,11,6,4,1
2,21,21,13,5,3
2,37,20,10,7,3
2,29,35,15,12,8
2,40,18,11,6,1
2,23,3,2,1,0
2,19,27,14,8,5
2,43,11,5,4,2
2,19,16,4,10,2
2,19,17,14,3,0
2,19,14,5,8,1
2,17,39,18,14,7
2,27,16,7,6,3
2,19,11,9,1,1
2,18,25,13,8,4
2,19,12,7,4,1
2,19,16,8,6,2
1,20,48,24,15,9
2,19,24,11,8,5
2,19,20,11,6,3
1,16,21,9,8,4
1,18,18,14,2,2
1,18,15,9,4,2
1,17,13,8,4,1
1,16,10,6,3,1
1,16,16,8,5,3
1,15,22,9,9,4
1,16,15,11,4,0
2,16,19,9,8,2
1,18,28,14,10,4
1,18,3,0,3,0
2,19,7,5,2,0
2,19,22,11,8,3
1,19,16,8,5,3
2,18,41,22,12,7
1,19,23,9,8,6
2,19,35,20,10,5
2,18,14,8,5,1
1,19,4,3,1,0
2,18,25,12,8,5
2,19,14,10,4,0
2,21,11,8,3,0
1,18,20,9,6,5
2,32,7,4,2,1
2,25,27,13,10,4
2,20,18,13,4,1
2,20,11,4,6,1
2,31,2,1,0,1
1,23,28,15,6,7
1,48,11,2,6,3
2,36,0,0,0,0
2,47,4,2,2,0
1,46,0,0,0,0
1,51,4,2,2,0
1,31,5,3,1,1
1,42,17,12,5,0
1,22,20,13,5,2
1,31,9,5,2,2
2,42,4,2,1,1
2,44,17,8,6,3
2,35,15,5,7,3
2,42,4,3,0,1
1,36,13,7,5,1
2,42,17,13,2,2
2,43,8,8,0,0
2,21,33,19,7,7
1,20,1,0,1,0
2,20,36,15,12,9
1,21,4,3,1,0
1,20,25,12,9,4
2,20,20,10,7,3
2,19,29,20,7,2
2,19,31,24,6,1
2,25,13,9,2,2
1,23,5,4,1,0
1,17,19,9,7,3
1,22,22,13,6,3
2,22,1,1,0,0
1,19,19,10,7,2
2,22,3,2,0,1
2,18,11,7,2,2
2,22,8,6,1,1
2,23,13,9,2,2
2,19,25,11,8,6
2,32,20,13,3,4
2,23,11,3,6,2
2,18,13,8,4,1
1,20,5,5,0,0
2,17,5,4,1,0
2,17,9,5,2,2
1,22,4,4,0,0
2,36,9,6,2,1
2,17,30,19,7,4
2,20,25,13,9,3
2,24,26,16,7,3
1,19,12,12,0,0
1,16,28,16,8,4
1,31,23,17,3,3
2,17,12,4,7,1
2,18,7,2,4,1
2,22,6,5,1,0
2,39,5,4,0,1
2,21,39,18,14,7
2,22,9,5,3,1
1,22,28,16,10,2
2,22,24,13,10,1
2,22,10,5,4,1
2,18,17,7,9,1
2,22,15,11,0,4
2,19,29,12,13,4
2,19,25,12,9,4
1,18,17,8,7,2
1,21,21,12,7,2
2,19,10,6,2,2
2,25,11,7,3,1
1,21,0,0,0,0
1,24,9,6,2,1
2,38,1,1,0,0
2,22,30,17,8,5
2,22,21,14,6,1
2,23,21,12,5,4
1,52,27,18,7,2
1,23,14,7,5,2
1,23,21,9,9,3
1,20,7,3,2,2
1,20,20,12,5,3
2,22,16,13,2,1
2,22,12,6,5,1
2,20,8,3,4,1
2,21,16,7,8,1
2,21,22,13,6,3
1,23,23,11,9,3
1,17,34,13,12,9
1,18,3,2,1,0
2,21,35,21,12,2
2,20,0,0,0,0
2,36,7,5,1,1
1,18,7,3,3,1
1,20,10,5,3,2
2,22,19,9,8,2
2,19,16,8,7,1
2,22,13,9,4,0
2,40,7,4,3,0
2,22,16,9,6,1
1,18,19,11,4,4
1,21,20,10,6,4
1,22,13,8,3,2
2,21,6,3,2,1
2,21,11,4,6,1
2,34,16,8,4,4
1,29,2,2,0,0
2,32,9,8,1,0
2,18,16,11,3,2
2,35,19,4,10,5
1,17,7,5,2,0
1,18,14,4,9,1
2,43,0,0,0,0
2,21,4,3,0,1
2,22,19,13,3,3
1,18,13,2,9,2
1,21,7,1,4,2
2,17,25,10,11,4
2,22,2,2,0,0
2,21,30,14,10,6
2,37,7,6,1,0
2,18,19,13,4,2
2,51,4,1,3,0
1,28,21,15,3,3
1,24,14,8,5,1
1,19,12,4,7,1
2,22,16,9,4,3
2,18,30,17,10,3
2,19,18,9,7,2
2,32,15,4,9,2
2,17,32,21,8,3
2,34,19,14,2,3
1,18,14,4,7,3
2,18,22,12,7,3
2,23,25,13,8,4
2,17,23,8,10,5
1,26,6,5,0,1
1,18,9,1,8,0
2,22,4,2,2,0
1,20,0,0,0,0
1,23,14,8,4,2
2,21,28,17,8,3
1,22,23,11,8,4
2,21,9,0,5,4
2,21,5,4,0,1
2,40,2,1,1,0
2,21,18,5,9,4
2,20,8,4,4,0
2,22,24,17,4,3
2,23,11,6,4,1
2,22,14,8,4,2
2,44,9,6,2,1
2,19,14,6,6,2
